Fecha,CLOSE
16/11/2020,"16,716.11"
15/11/2020,"15,955.59"
14/11/2020,"16,068.14"
13/11/2020,"16,317.81"
12/11/2020,"16,276.34"
11/11/2020,"15,701.34"
10/11/2020,"15,290.90"
09/11/2020,"15,332.32"
08/11/2020,"15,479.57"
07/11/2020,"14,833.75"
06/11/2020,"15,565.88"
05/11/2020,"15,579.85"
04/11/2020,"14,133.71"
03/11/2020,"13,950.30"
02/11/2020,"13,550.49"
01/11/2020,"13,737.11"
31/10/2020,"13,780.99"
30/10/2020,"13,546.52"
29/10/2020,"13,437.88"
28/10/2020,"13,271.29"
27/10/2020,"13,654.22"
26/10/2020,"13,075.25"
25/10/2020,"13,031.17"
24/10/2020,"13,108.06"
23/10/2020,"12,931.54"
22/10/2020,"12,965.89"
21/10/2020,"12,823.69"
20/10/2020,"11,916.34"
19/10/2020,"11,742.04"
18/10/2020,"11,483.36"
17/10/2020,"11,358.10"
16/10/2020,"11,322.12"
15/10/2020,"11,495.35"
14/10/2020,"11,429.51"
13/10/2020,"11,425.90"
12/10/2020,"11,555.36"
11/10/2020,"11,384.18"
10/10/2020,"11,296.36"
09/10/2020,"11,064.46"
08/10/2020,"10,915.69"
07/10/2020,"10,668.97"
06/10/2020,"10,604.41"
05/10/2020,"10,793.34"
04/10/2020,"10,669.58"
03/10/2020,"10,549.33"
02/10/2020,"10,575.98"
01/10/2020,"10,619.45"
30/09/2020,"10,784.49"
29/09/2020,"10,844.64"
28/09/2020,"10,709.65"
27/09/2020,"10,775.27"
26/09/2020,"10,750.72"
25/09/2020,"10,692.72"
24/09/2020,"10,760.07"
23/09/2020,"10,246.19"
22/09/2020,"10,538.46"
21/09/2020,"10,462.26"
20/09/2020,"10,938.27"
19/09/2020,"11,094.35"
18/09/2020,"10,944.59"
17/09/2020,"10,948.99"
16/09/2020,"10,974.90"
15/09/2020,"10,796.95"
14/09/2020,"10,680.84"
13/09/2020,"10,323.76"
12/09/2020,"10,442.17"
11/09/2020,"10,400.91"
10/09/2020,"10,363.14"
09/09/2020,"10,242.35"
08/09/2020,"10,131.52"
07/09/2020,"10,369.56"
06/09/2020,"10,280.35"
05/09/2020,"10,169.57"
04/09/2020,"10,511.81"
03/09/2020,"10,245.30"
02/09/2020,"11,414.03"
01/09/2020,"11,970.48"
31/08/2020,"11,680.82"
30/08/2020,"11,711.51"
29/08/2020,"11,506.87"
28/08/2020,"11,542.50"
27/08/2020,"11,323.40"
26/08/2020,"11,488.36"
25/08/2020,"11,366.14"
24/08/2020,"11,774.60"
23/08/2020,"11,664.85"
22/08/2020,"11,681.83"
21/08/2020,"11,592.49"
20/08/2020,"11,878.37"
19/08/2020,"11,758.28"
18/08/2020,"11,991.23"
17/08/2020,"12,254.40"
16/08/2020,"11,892.80"
15/08/2020,"11,865.70"
14/08/2020,"11,768.87"
13/08/2020,"11,784.14"
12/08/2020,"11,584.93"
11/08/2020,"11,410.53"
10/08/2020,"11,878.11"
09/08/2020,"11,675.74"
08/08/2020,"11,754.05"
07/08/2020,"11,601.47"
06/08/2020,"11,779.77"
05/08/2020,"11,747.02"
04/08/2020,"11,205.89"
03/08/2020,"11,246.35"
02/08/2020,"11,053.61"
01/08/2020,"11,759.59"
31/07/2020,"11,323.47"
30/07/2020,"11,111.21"
29/07/2020,"11,100.47"
28/07/2020,"10,912.82"
27/07/2020,"10,990.87"
26/07/2020,"9,905.17"
25/07/2020,"9,677.11"
24/07/2020,"9,536.89"
23/07/2020,"9,581.07"
22/07/2020,"9,525.36"
21/07/2020,"9,374.89"
20/07/2020,"9,164.23"
19/07/2020,"9,185.82"
18/07/2020,"9,159.04"
17/07/2020,"9,151.39"
16/07/2020,"9,132.23"
15/07/2020,"9,192.84"
14/07/2020,"9,243.21"
13/07/2020,"9,243.61"
12/07/2020,"9,276.50"
11/07/2020,"9,240.35"
10/07/2020,"9,278.81"
09/07/2020,"9,277.97"
08/07/2020,"9,428.33"
07/07/2020,"9,252.28"
06/07/2020,"9,375.47"
05/07/2020,"9,073.94"
04/07/2020,"9,132.49"
03/07/2020,"9,087.30"
02/07/2020,"9,123.41"
01/07/2020,"9,228.33"
30/06/2020,"9,137.99"
29/06/2020,"9,190.85"
28/06/2020,"9,143.58"
27/06/2020,"9,045.39"
26/06/2020,"9,162.92"
25/06/2020,"9,264.81"
24/06/2020,"9,313.61"
23/06/2020,"9,629.66"
22/06/2020,"9,648.72"
21/06/2020,"9,303.63"
20/06/2020,"9,332.34"
19/06/2020,"9,288.02"
18/06/2020,"9,411.84"
17/06/2020,"9,480.26"
16/06/2020,"9,538.02"
15/06/2020,"9,450.70"
14/06/2020,"9,386.79"
13/06/2020,"9,475.28"
12/06/2020,"9,480.84"
11/06/2020,"9,321.78"
10/06/2020,"9,870.09"
09/06/2020,"9,795.70"
08/06/2020,"9,771.49"
07/06/2020,"9,758.85"
06/06/2020,"9,653.68"
05/06/2020,"9,665.53"
04/06/2020,"9,800.64"
03/06/2020,"9,656.72"
02/06/2020,"9,529.80"
01/06/2020,"10,167.27"
31/05/2020,"9,461.06"
30/05/2020,"9,700.41"
29/05/2020,"9,439.12"
28/05/2020,"9,525.75"
27/05/2020,"9,181.02"
26/05/2020,"8,835.05"
25/05/2020,"8,906.93"
24/05/2020,"8,790.37"
23/05/2020,"9,209.29"
22/05/2020,"9,182.58"
21/05/2020,"9,081.76"
20/05/2020,"9,522.98"
19/05/2020,"9,729.04"
18/05/2020,"9,726.57"
17/05/2020,"9,670.74"
16/05/2020,"9,377.01"
15/05/2020,"9,328.20"
14/05/2020,"9,733.72"
13/05/2020,"9,269.99"
12/05/2020,"8,804.48"
11/05/2020,"8,601.80"
10/05/2020,"8,756.43"
09/05/2020,"9,593.90"
08/05/2020,"9,842.67"
07/05/2020,"9,951.52"
06/05/2020,"9,268.76"
05/05/2020,"9,003.07"
04/05/2020,"8,912.65"
03/05/2020,"8,897.47"
02/05/2020,"8,988.60"
01/05/2020,"8,864.77"
30/04/2020,"8,658.55"
29/04/2020,"8,801.04"
28/04/2020,"7,807.06"
27/04/2020,"7,795.60"
26/04/2020,"7,679.87"
25/04/2020,"7,569.94"
24/04/2020,"7,550.90"
23/04/2020,"7,429.72"
22/04/2020,"7,117.21"
21/04/2020,"6,880.32"
20/04/2020,"6,881.96"
19/04/2020,"7,189.42"
18/04/2020,"7,257.66"
17/04/2020,"7,096.18"
16/04/2020,"7,116.80"
15/04/2020,"6,642.11"
14/04/2020,"6,842.43"
13/04/2020,"6,845.04"
12/04/2020,"6,971.09"
11/04/2020,"6,859.08"
10/04/2020,"6,865.49"
09/04/2020,"7,302.09"
08/04/2020,"7,334.10"
07/04/2020,"7,176.41"
06/04/2020,"7,271.78"
05/04/2020,"6,791.13"
04/04/2020,"6,867.53"
03/04/2020,"6,733.39"
02/04/2020,"6,793.62"
01/04/2020,"6,606.78"
31/03/2020,"6,438.64"
30/03/2020,"6,429.84"
29/03/2020,"5,922.04"
28/03/2020,"6,242.19"
27/03/2020,"6,469.80"
26/03/2020,"6,716.44"
25/03/2020,"6,681.06"
24/03/2020,"6,734.80"
23/03/2020,"6,416.31"
22/03/2020,"5,830.25"
21/03/2020,"6,185.07"
20/03/2020,"6,198.78"
19/03/2020,"6,191.19"
18/03/2020,"5,238.44"
17/03/2020,"5,225.63"
16/03/2020,"5,014.48"
15/03/2020,"5,392.31"
14/03/2020,"5,200.37"
13/03/2020,"5,563.71"
12/03/2020,"4,970.79"
11/03/2020,"7,911.43"
10/03/2020,"7,909.73"
09/03/2020,"7,923.64"
08/03/2020,"8,108.12"
07/03/2020,"8,909.95"
06/03/2020,"9,122.55"
05/03/2020,"9,078.76"
04/03/2020,"8,755.25"
03/03/2020,"8,787.79"
02/03/2020,"8,869.67"
01/03/2020,"8,562.45"
29/02/2020,"8,599.51"
28/02/2020,"8,672.46"
27/02/2020,"8,784.49"
26/02/2020,"8,820.52"
25/02/2020,"9,341.71"
24/02/2020,"9,650.17"
23/02/2020,"9,924.52"
22/02/2020,"9,663.18"
21/02/2020,"9,686.44"
20/02/2020,"9,608.48"
19/02/2020,"9,633.39"
18/02/2020,"10,142.00"
17/02/2020,"9,690.14"
16/02/2020,"9,934.43"
15/02/2020,"9,889.42"
14/02/2020,"10,312.12"
13/02/2020,"10,214.38"
12/02/2020,"10,326.05"
11/02/2020,"10,208.24"
10/02/2020,"9,856.61"
09/02/2020,"10,116.67"
08/02/2020,"9,865.12"
07/02/2020,"9,795.94"
